Date,S&P Adj Close,S&P Volume,S&P return
1-Jun-08,"1,280.00","96,614,040,000",-0.08988355
1-May-08,"1,400.38","80,990,480,000",0.010617587
1-Apr-08,"1,385.59","85,978,630,000",0.04645094
1-Mar-08,"1,322.70","93,189,170,000",-0.005977412
1-Feb-08,"1,330.63","78,536,130,000",-0.035379708
1-Jan-08,"1,378.55","98,475,340,000",-0.06311391
1-Dec-07,"1,468.36","64,821,670,000",-0.00866593
1-Nov-07,"1,481.14","86,246,950,000",-0.045042789
1-Oct-07,"1,549.38","76,022,580,000",0.014713558
1-Sep-07,"1,526.75","57,809,700,000",0.035168284
1-Aug-07,"1,473.99","91,381,760,000",0.012781559
1-Jul-07,"1,455.27","70,337,430,000",-0.032504501
1-Jun-07,"1,503.35","65,322,800,000",-0.017976931
1-May-07,"1,530.62","64,958,050,000",0.032030724
1-Apr-07,"1,482.37","57,032,470,000",0.042379836
1-Mar-07,"1,420.86","67,622,250,000",0.009930484
1-Feb-07,"1,406.82","51,844,990,000",-0.022088306
1-Jan-07,"1,438.24","56,686,200,000",0.013961173
1-Dec-06,"1,418.30","47,578,780,000",0.012536836
1-Nov-06,"1,400.63","55,343,930,000",0.016332505
1-Oct-06,"1,377.94","56,793,620,000",0.031021837
1-Sep-06,"1,335.85","49,001,440,000",0.024269376
1-Aug-06,"1,303.82","50,485,620,000",0.021051125
1-Jul-06,"1,276.66","46,348,220,000",0.005072924
1-Jun-06,"1,270.20","54,873,260,000",8.66E-05
1-May-06,"1,270.09","54,312,830,000",-0.031404914
1-Apr-06,"1,310.61","43,308,430,000",0.012082374
1-Mar-06,"1,294.87","50,905,040,000",0.011034734
1-Feb-06,"1,280.66","42,859,940,000",0.000452994
1-Jan-06,"1,280.08","49,211,650,000",0.025147961
1-Dec-05,"1,248.29","41,756,130,000",-0.00095285
1-Nov-05,"1,249.48","45,102,870,000",0.034581238
1-Oct-05,"1,207.01","49,793,790,000",-0.017899994
1-Sep-05,"1,228.81","44,777,510,000",0.006924907
1-Aug-05,"1,220.33","42,030,090,000",-0.011285468
1-Jul-05,"1,234.18","37,464,670,000",0.035336452
1-Jun-05,"1,191.33","40,334,040,000",-0.000142687
1-May-05,"1,191.50","39,321,990,000",0.029512223
1-Apr-05,"1,156.85","43,424,270,000",-0.020313519
1-Mar-05,"1,180.59","39,014,150,000",-0.019302752
1-Feb-05,"1,203.60","29,297,410,000",0.018726935
1-Jan-05,"1,181.27","31,498,800,000",-0.025615748
1-Dec-04,"1,211.92","31,102,500,000",0.031942491
1-Nov-04,"1,173.82","30,460,280,000",0.037868779
1-Oct-04,"1,130.20","31,511,000,000",0.013916956
1-Sep-04,"1,114.58","26,829,870,000",0.009320337
1-Aug-04,"1,104.24","26,586,800,000",0.002284721
1-Jul-04,"1,101.72","29,285,600,000",-0.034892238
1-Jun-04,"1,140.84","27,529,500,000",0.017829189
1-May-04,"1,120.68","29,326,400,000",0.012011024
1-Apr-04,"1,107.30","31,611,900,000",-0.016933393
1-Mar-04,"1,126.21","33,597,900,000",-0.016494221
1-Feb-04,"1,144.94","27,985,600,000",0.012135101
1-Jan-04,"1,131.13","32,820,000,000",0.017128882
1-Dec-03,"1,111.92","27,839,130,000",0.049518899
1-Nov-03,"1,058.20","24,463,220,000",0.007103225
1-Oct-03,"1,050.71","32,298,500,000",0.053504268
1-Sep-03,995.97,"29,940,110,000",-0.012016233
1-Aug-03,"1,008.01","24,881,470,000",0.017715344
1-Jul-03,990.31,"31,553,200,000",0.016093506
