Singapore,Kuwait,Norway,Switzerland,China Hong Kong,Saudi Arabia,Denmark,Sweden,Canada,Australia,Taiwan,United Kingdom,Japan,New Zealand,Hungary,Mexico,Thailand,South Africa,Philippines,India
0.004525758,-0.000196867,-0.00154234,-0.008452147,0.000198736,0.000146637,-0.004189891,0.001038042,0.009651829,0.032102569,0.001884447,-0.017946077,0.00755054,0.00959853,0.014648915,0.005207463,0.021354668,-0.080446044,0.006714654,0.006345492
0.008522626,-0.002709519,5.56E-05,0.008194555,0.000230818,0.00014663,-0.002873141,0.02312692,-0.015305119,-0.013779792,-0.012834232,0.022214866,0.060377511,0.003750365,0.02920649,0.016232549,-0.003092633,-0.14722834,0.015779326,-0.000324812
-0.004752419,-0.002375023,-0.011255103,0.029901145,-7.05E-05,0.000359915,-0.031406152,-0.019291415,0.004011007,-0.008353317,0.001629246,-0.027731746,0.021498415,0.001349283,-0.022288146,0.006373513,0.006685786,0.055627276,0.011754489,-0.001670271
-0.001640331,0.00133061,0.025470861,-0.004298603,0.0001218,0.000253267,0.005838578,0.02221074,-0.00876543,0.020611342,-0.002031577,0.002568364,0.001951483,0.012832528,0.000799734,0.007920459,0.009350046,0.00668225,0.003980128,0.001012791
0.006568213,0.002632318,0.012843528,-0.013225795,9.61E-05,6.67E-05,0.0095887,0.009527433,0.005938382,0.035421582,0.003666653,0.008542666,-0.00827607,0.048921848,0.023279477,0.018614811,0.004701783,0.013180297,0.008361463,0.003947727
-0.016994411,0.006327693,0.05352139,-0.038544066,0.000134625,0.000146644,0.033791526,0.011927843,0.01667308,0.008438677,-0.007393347,0.02503193,-0.031124366,0.019760112,0.038778919,-0.035175328,0.00668557,0.075264623,0.011606801,0.002141913
-0.013024171,0.005735929,0.052047544,-0.034054932,0.000173079,0.000239964,0.038055016,0.053180173,0.027565983,0.055284189,-0.01415358,0.005928467,-0.033648217,0.071097672,0.046161726,-0.024987339,0.021616723,0.093560056,0.01106884,0.003340691
-0.010648999,0.008939192,0.069876242,-0.053621435,-6.41E-06,0.0001333,0.05749773,0.061930716,0.00537385,-0.005608027,-0.01691675,0.042715206,-0.034490497,0.017293494,0.050729021,-0.021601932,0.019484747,-0.045050223,0.001278054,0.00659161
-0.001705418,0.001755927,-0.010454545,-0.003430233,7.05E-05,0.000413225,-0.005841475,-0.030409194,-0.039982349,-0.028228728,0.01236765,0.026321685,0.000769141,-0.031655141,-0.001899626,0.018495946,-0.011253787,0.016538337,-0.01465298,0.008016142
-0.006282022,-4.39E-07,0.01570415,0.013376333,7.05E-05,0.000653068,0.002144977,0.01320267,0.016405116,0.014560874,0.014660255,-0.008082253,-0.008619133,0.000522552,0.006784392,-0.003964256,-0.003682059,-0.017750434,-0.007147322,0.006833776
0.015552244,0.000397031,0.021121335,-0.017817757,0.000128207,0.000906134,0.008892819,0.014796869,-0.01579837,-0.010961846,0.021259318,0.01836775,0.027439485,0.006620858,0.021573439,-0.025735046,-0.02389006,0.007862478,-0.007697483,0.006124707
-0.00595113,0.001026533,0.000992498,0.00287731,0.000237175,0.000559753,0.002916044,0.012713655,0.014080895,0.023684254,-0.003754517,-0.003315073,0.007658224,0.039437368,0.016519595,0.013205017,-1.20E-07,0.060417325,-0.009806505,0.003261754
