Australia,Canada,China Hong Kong,Denmark,Hungary,India,Japan,Kuwait,Mexico,New Zealand,Norway,Philippines,Saudi Arabia,Singapore,South Africa,Sweden,Switzerland,Taiwan,Thailand,United Kingdom
0.139092304,0.040714323,0.004921739,0.074402521,-0.067244151,-0.023441546,0.191027319,-0.0252053,0.102567433,0.191426316,0.021175941,-0.133873606,0.002669021,0.086861795,-0.176579527,0.149597623,0.043043799,-0.056310906,0.057672482,0.005778862
0.086305223,0.060534087,0.005205193,0.08668079,-0.076491994,-0.02408042,0.206258666,-0.022665944,0.111254031,0.154057841,0.010598771,-0.116982846,0.002682388,0.090261408,-0.168065159,0.180971295,0.063738074,-0.05354152,0.072443152,-0.006939614
0.086305223,0.089773181,0.005327629,0.043239518,-0.110493385,-0.021369411,0.286735318,-0.017009932,0.146452993,0.088440148,-0.005922036,-0.13438664,0.002642282,0.128601593,-0.194346347,0.245616289,0.096297364,-0.065398142,0.035974241,-0.020834268
0.135666685,0.116735754,0.005462993,0.047922614,-0.104033758,-0.021737775,0.273121174,-0.014010204,0.187956091,0.110708176,-0.003608185,-0.158941213,0.002642282,0.140456373,-0.190558301,0.232625487,0.103177841,-0.065714223,0.02542567,-0.013765246
0.127836604,0.110365108,0.005727264,0.00272199,-0.091932018,-0.021899314,0.225940294,-0.015227665,0.204181116,0.102680881,-0.028374066,-0.140112981,0.002669015,0.133966507,-0.186815684,0.232625487,0.139629396,-0.092616903,0.033767828,-0.019904354
0.131547159,0.131559287,0.005823973,0.003987146,-0.051175357,-0.018949292,0.286600447,-0.014940332,0.226004471,0.085882391,-0.022336773,-0.167733788,0.002682383,0.143428821,-0.186004217,0.24411064,0.14242336,-0.099997759,0.03901215,-0.028697605
0.131013928,0.124038394,0.005882007,0.03755242,-0.030706851,-0.016956235,0.292631385,-0.011033772,0.226364065,0.112679411,0.001595863,-0.180090792,0.002762586,0.1316816,-0.201919848,0.271806634,0.095591876,-0.107029909,0.032823832,-0.014558612
0.173095315,0.108597696,0.006043221,0.077813812,-0.010135009,-0.013935694,0.230955345,-0.003861511,0.224841204,0.182403127,0.034669556,-0.135286413,0.002842795,0.092840366,-0.213184844,0.296150524,0.0568761,-0.112672811,0.0715052,0.003766976
0.100132826,0.088378652,0.00613997,0.083401623,-0.011878597,-0.023234789,0.235013429,-0.001738391,0.195060038,0.100348263,0.038301462,-0.132104555,0.003123406,0.108725895,-0.261074716,0.269955736,0.022247583,-0.110360687,0.063992969,0.018648009
0.126523533,0.084101424,0.006339915,0.071398059,-0.009049541,-0.020978854,0.269995824,-0.00389826,0.23571022,0.119393751,0.041132746,-0.134899996,0.004179684,0.144827645,-0.290380227,0.271941213,0.032588506,-0.109588487,0.061475938,0.009565328
